ID,W1
nl_1,0.9
nl_2,1.8333333333333333
nl_3,0.0
nl_4,0.8
nl_5,0.0
nl_6,0.03333333333333333
nl_7,0.0
nl_8,0.0
nl_9,0.0
nl_10,0.0
nl_11,0.7333333333333333
nl_12,0.06666666666666667
nl_13,0.5333333333333333
nl_14,2.3333333333333335
nl_15,1.0
nl_16,0.0
nl_17,0.0
nl_18,3.0
nl_19,0.0
nl_20,2.0
nl_21,0.0
nl_22,0.0
nl_23,0.30000000000000004
nl_24,0.0
nl_25,2.0666666666666664
nl_26,0.0
nl_27,1.0
nl_28,1.0
nl_29,3.0
nl_30,3.0
es_1,1.6333333333333333
es_2,0.0
es_3,0.36666666666666664
es_4,0.0
es_5,1.4333333333333333
es_6,2.0
es_7,0.0
es_8,3.0
es_9,1.0
es_10,0.6666666666666666
es_11,1.0
es_12,0.0
es_13,0.0
es_14,0.0
es_15,1.0
es_16,3.0
es_17,0.8666666666666667
es_18,0.7
es_19,0.0
es_20,0.0
es_21,2.0
es_22,3.0
es_23,0.0
es_24,0.0
de_1,2.0
de_2,0.0
de_3,0.0
de_4,0.0
de_5,0.0
de_6,0.0
de_7,0.4666666666666667
de_8,0.0
de_9,0.0
de_10,3.0
de_11,0.0
de_12,2.0
de_13,0.9
de_14,0.0
de_15,3.0
de_16,0.0
de_17,0.0
de_18,0.0
de_19,0.8
de_20,1.0666666666666667
de_21,0.0
de_22,3.0
de_23,0.0
de_24,0.0
de_25,1.0
de_26,0.0
de_27,0.0
de_28,2.1
de_29,0.0
de_30,0.0
de_31,0.0
de_32,2.2333333333333334
de_33,0.7000000000000001
de_34,0.0
de_35,1.4666666666666668
de_36,0.0
de_37,0.7333333333333334
de_38,1.7666666666666666
pl_1,3.1666666666666665
pl_2,0.0
pl_3,0.0
pl_4,1.0
pl_5,0.1
pl_6,1.0
pl_7,0.0
pl_8,0.0
pl_9,0.0
pl_10,0.0
pl_11,3.0
pl_12,2.0
pl_13,0.0
pl_14,0.0
pl_15,0.13333333333333333
pl_16,0.0
pl_17,0.9333333333333333
pl_18,0.06666666666666667
pl_19,0.0
pl_20,0.0
hu_1,3.0
hu_2,1.6
hu_3,3.1333333333333333
hu_4,0.0
hu_5,0.0
hu_6,2.3333333333333335
hu_7,0.0
hu_8,0.2
hu_9,2.9
hu_10,0.0
hu_11,0.0
hu_12,0.0
hu_13,6.0
hu_14,2.2666666666666666
hu_15,0.0
hu_16,0.0
hu_17,2.0
hu_18,0.0
hu_20,1.1333333333333333
hu_21,0.0
hu_22,0.0
hu_23,0.0
hu_24,0.0
hu_28,1.0
hu_29,0.0
hu_30,0.0
hu_31,0.0
hu_32,1.9666666666666668
hu_33,2.0
hu_34,0.0
hu_36,0.0
hu_37,0.0
hu_38,0.0
hu_39,0.0
hu_40,1.6666666666666667
it_1,0.0
it_2,3.0
it_3,0.0
it_4,0.0
it_5,0.0
it_6,1.3666666666666667
it_7,0.0
it_8,0.0
it_9,0.0
it_10,0.06666666666666667
it_11,0.6333333333333333
it_12,2.4333333333333336
it_13,0.0
it_14,0.0
it_15,0.6666666666666667
it_16,1.6333333333333333
it_17,0.9666666666666667
it_18,0.0
it_19,0.06666666666666665
it_20,1.0
it_21,2.0
it_22,0.0
it_23,2.0
it_24,3.0
it_25,0.0
it_26,0.0
it_27,0.0
it_28,0.0
it_29,0.5666666666666667
it_30,0.0
ch_18,0.0
ch_19,0.0
ch_20,0.0
ch_21,0.4666666666666667
ch_22,0.0
ch_23,0.0
ch_24,0.7333333333333334
ch_25,1.0
ch_26,1.9666666666666668
ch_27,0.0
ch_28,0.0
ch_29,0.0
ch_30,0.0
ch_31,0.0
ch_32,0.0
ch_33,0.0
ch_34,2.0
ch_35,0.0
ch_36,0.0
ch_37,1.7333333333333334
ch_38,0.0
ch_39,0.0
ch_40,0.0
ch_41,3.066666666666667
ch_42,1.8
ch_43,0.0
ch_44,0.0
ch_45,0.0
ch_46,0.8
ch_47,2.0
ch_48,3.0
ch_49,3.0
ch_50,0.0
ch_51,0.9333333333333335
ch_53,0.19999999999999998
ch_54,0.0
ch_55,0.0
ch_56,0.0
ch_57,1.0
ch_58,0.0
ch_59,0.5666666666666667
ch_0,0.0
ch_1,0.0
ch_2,0.8333333333333334
ch_3,2.0
ch_4,0.0
ch_5,0.0
ch_6,0.4666666666666667
ch_7,1.0
ch_8,0.0
ch_9,3.0
ch_10,1.0
ch_11,0.0
ch_12,0.7999999999999999
ch_13,0.7666666666666667
ch_14,0.0
ch_15,0.0
ch_16,2.2
ch_17,2.0
