ID,MU
nl_1_0001000,0.0
nl_4_0001000,0.0
nl_6_0001000,0.06436781609195402
nl_7_0001000,0.0
nl_10_0001000,0.0
nl_11_0001000,0.09310344827586203
nl_12_0001000,0.09310344827586207
nl_13_0001000,0.0
nl_16_0001000,0.11954022988505747
nl_18_0001000,0.0
nl_20_0001000,0.0
nl_21_0001000,0.0
nl_22_0001000,0.0
nl_25_0001000,0.5160919540229885
nl_26_0001000,0.0
nl_29_0001000,0.0
es_1_0001000,0.0
es_5_0001000,0.0
es_6_0001000,0.0
es_7_0001000,0.0
es_9_0001000,0.18505747126436778
es_10_0001000,2.3172413793103455
es_11_0001000,0.0
es_13_0001000,0.0
es_14_0001000,0.0
es_15_0001000,0.0
es_16_0001000,0.0
es_17_0001000,0.0
es_19_0001000,0.0
es_20_0001000,0.20229885057471264
es_21_0001000,0.0
es_23_0001000,0.0
de_1_0001000,0.0
de_2_0001000,0.0
de_3_0001000,0.0
de_5_0001000,0.0
de_8_0001000,0.11954022988505747
de_11_0001000,0.0
de_12_0001000,0.0
de_16_0001000,0.0
de_18_0001000,0.0
de_21_0001000,0.0
de_22_0001000,0.0
de_23_0001000,0.0
de_24_0001000,0.24827586206896549
de_25_0001000,0.0
de_29_0001000,0.0
de_31_0001000,0.0
de_32_0001000,0.0
de_36_0001000,0.0
de_37_0001000,0.0
de_38_0001000,0.0
pl_2_0001000,0.0
pl_3_0001000,0.0
pl_4_0001000,0.0
pl_5_0001000,0.0
pl_6_0001000,0.0
pl_7_0001000,0.0
pl_10_0001000,0.0
pl_12_0001000,0.0
pl_14_0001000,0.47816091954023004
pl_15_0001000,0.18505747126436778
pl_19_0001000,0.0
pl_20_0001000,0.0
hu_1_0001000,0.0
hu_2_0001000,0.0
hu_3_0001000,0.0
hu_9_0001000,0.0
hu_10_0001000,0.0
hu_11_0001000,0.0
hu_12_0001000,0.0
hu_13_0001000,0.0
hu_15_0001000,0.0
hu_16_0001000,0.0
hu_17_0001000,0.0
hu_19_0001000,0.0
hu_21_0001000,0.0
hu_23_0001000,0.0
hu_24_0001000,0.0
hu_25_0001000,0.13793103448275862
hu_28_0001000,0.0
hu_36_0001000,0.0
hu_37_0001000,0.0
hu_38_0001000,0.0
it_5_0001000,0.0
it_10_0001000,0.0
it_11_0001000,0.0
it_12_0001000,0.0
it_14_0001000,0.0
it_16_0001000,0.0
it_19_0001000,0.0
it_20_0001000,0.03333333333333332
it_22_0001000,0.0
it_23_0001000,0.0
it_27_0001000,0.0
ch_19_0001000,0.0
ch_21_0001000,0.0
ch_22_0001000,0.0
ch_23_0001000,0.0
ch_26_0001000,0.4241379310344827
ch_27_0001000,0.0
ch_28_0001000,0.0
ch_30_0001000,0.0
ch_33_0001000,0.0
ch_36_0001000,0.0
ch_37_0001000,0.0
ch_41_0001000,0.0
ch_43_0001000,0.0
ch_46_0001000,0.0
ch_50_0001000,0.0
ch_52_0001000,0.0
ch_53_0001000,0.0
ch_54_0001000,0.0
ch_5_0001000,0.11954022988505747
ch_6_0001000,0.0
ch_8_0001000,0.0
ch_9_0001000,0.0
ch_10_0001000,0.0
ch_12_0001000,0.0931034482758621
ch_15_0001000,0.0
ch_16_0001000,0.0
ch_17_0001000,0.0
